"name","location","what it does","application","deprecate or update","how to update / reason for deprecation","phase"
"Order decrement / restock","sugarwish-laravel/app/Models/ReceiverProduct.php","WRITE: order decrement (rolls up to inventory_link parent) + restock on cancel [ACTIVE: live order placement + cancellation]","Laravel","deprecate","Order placement creates a SERP reservation instead (serp_stock_quant.reserved_quantity rises, so view sellable_qty drops instantly); cancel releases the reservation — the reservation write already exists in the darklaunch order-queue worker, so this rides the queue cutover to live serp_*; then remove the decrementInventory/reAddInventory writes from Laravel (callers keep resolving inventory_link child->parent before the SERP call). NOTE: same file also runs the order-time auto-disable (disableIfCanBe, :149) right after this decrement — see the 'Repoint disableIfCanBe' row; repoint it to sellable_qty in the SAME change, don't just delete the decrement","at cutover"
"Admin inventory transactions","sugarwish-laravel/app/Http/Controllers/Admin/InventoryTransactionController.php","WRITE: admin inventory-transaction inc/dec (delta on edit, dec on delete) [ACTIVE: live admin routes]","Laravel","deprecate","Corrections move to SERPY inventory-adjustment ops (draft→approve→sync queue); then remove the admin transaction inc/dec writes (note: current update()/destroy() ignore the location column and always hit inventory_qty)","at cutover"
"InventoryTransaction model scopes","sugarwish-laravel app/Models/InventoryTransaction.php:46-69","READ: reporting scopes over inventory_transactions beyond the admin controller writer — they read frozen history once the table stops being written at the flip","Laravel","deprecate","remove with the inventory_transactions table; if the admin transaction-history screen must survive, repoint it to serp_stock_move first (SERP's audit trail)","after cutover"
"Admin product save","sugarwish-laravel/app/Http/Controllers/Admin/ReceiverProductController.php","WRITE: admin direct set on save (initial stock on add; edit form is readonly) [ACTIVE: live admin store/update routes]","Laravel","deprecate","The column freezes at cutover, so initial stock must seed into SERP instead; then remove the inventory_qty write from save() (keep the readonly display fields)","at cutover"
"Reservation-netting availability checks","sugarwish-laravel InventoryReservationService.php:252 · Actions/Prepick/ChooseFlavours.php:111,114 · Services/Receiver/InventoryAvailabilityService.php:108,111","READ: three more places computing availability as inventory_qty − active reservations (re-reserve check, prepick flavour choice, receiver availability service) — post-freeze they subtract live holds from a dead number","Laravel","update","repoint to receiver_product_inventory.sellable_qty and drop the local reservation netting (the view nets active holds); rides the flip-window Laravel release","at cutover"
"Taylor location retirement","locations id=2 + receiver_products.location_2_status / mi_inventory_qty + branches in ReceiverProductService.php:63-76, ReceiverController.php:686-711, StackedController.php:364, ReceiverProduct.php:153-172, Admin controllers","READ: the Taylor, MI location gate is deployed but UNREACHABLE — the only resolver is vinebox_states.ship_from and all 61 states ship from Englewood (id=1); residue: 53 stale location_2_status flags, 3 products with mi_inventory_qty > 0 (max 6), admin UI fields","Laravel","deprecate","retire as ONE cleanup: drop the locations row 2, the $location->status_column/$location->column branches, the admin UI fields, and BOTH columns (location_2_status + mi_inventory_qty) together; safeguard until then: never point a vinebox state at ship_from=2","after cutover"
"Odoo-Laravel sync command","sugarwish-laravel/app/Console/Commands/SynchronizeOddoReceiverProductInventory.php","WRITE: synchronize:oddo applies pending InventoryAdjustment rows [DEPRECATED: dead code — inventory_adjustments table dropped Jan 2023, not scheduled, no callers]","Laravel","deprecate","Delete the command, InventoryAdjustment model, and its test — the table was dropped Jan 2023 so it can never run","after cutover"
"Odoo inventory sync Lambda","sugarwish-laravel/sidecar/SynchronizeOdooInventory/index.py","WRITE: sets inventory_qty = odoo_inventory - pending_orders + auto-disable [ACTIVE but EXTERNAL-ONLY: sidecar registered, fired by external schedule e.g. EventBridge, no in-app trigger]","Laravel","deprecate","Retire — the receiver_product_inventory view replaces the synced inventory_qty column entirely (its pending-orders netting, items.odoo_sync IN (0,1), now lives inside the view's unsynced-demand leg); remove the EventBridge schedule + sidecar registration; drop_level auto-disable moves to Laravel as the PRIMARY check (reading the view's sellable_qty) with n8n Disable Unreserved as BACKUP ONLY — decided 2026-07-21 Touchbase (Seth+Anna, stability), not 'stays Laravel + n8n' co-primary as before","at cutover"
"receiver_product_inventory view","v2 (current) lives in serp_test/darklaunch DB; laravel_live still holds a stale v1","SERVE (new source of truth): v2 = on_hand_qty (quants per receiver_product_id); available_qty = on-hand - reserved - unsynced demand (items of last-30-day orders with no serp_sale_order row) - unreserved internal->customer moves - active holds; sellable_qty = available_qty + prelist_qty (reads Laravel receiver_products.prelist_qty) [ACTIVE: v2 shipped in serp_test; v1 in laravel_live until the pre-cutover migration run]","Laravel","update","SHIPPED to serp_test via the seed pipeline (SERP PR #503): usage='internal' base sum (verified: mapped products carry customer +7.7M / production -7.5M / supplier -520K / inventory -64.6K quants vs internal +326K, so unfiltered on_hand is garbage); demand leg = per-order-type NOT EXISTS against serp_sale_order — a single OR'd subquery defeats uk_so_ec_order/uk_so_preselect and never finishes — windowed to orders created in the last 30 days via ec_order/preselect_orders created_at (items.created_at is unindexable; pre-Odoo items back to 2017 would count forever); active/unexpired inventory_reservations holds leg (reservations stay live post-cutover; table mirrored empty into the darklaunch schema). Before migration day: recreate in laravel_live via migrations/20260716_inventory_views_v2.sql run as the existing view DEFINER (near-empty serp_* until the seed; no consumers until the flip); readers pick the matching column — sellable_qty where they read raw inventory_qty (site-facing; prelist counts), available_qty where they netted prelist out (packing/forecast physical supply), on_hand_qty for pure stock displays","before cutover"
"component_product_inventory view","serp_test/darklaunch DB (create in laravel_live at cutover)","SERVE: component (RM) on-hand — SUM(serp_stock_quant.quantity) per serp_product_product.component_id [ACTIVE: exists in serp_test alongside receiver_product_inventory v2]","Laravel","update","usage='internal' filter shipped with the receiver view (same PR — on_hand only); create in laravel_live before migration day via the same migration, as the SERP-backed source for component inventory reads","before cutover"
"SERP order queue worker","SERP/backend/workers/darklaunch_order_worker.py","WRITE: processes live orders into SERP stock moves/reservations in serp_stock_quant — currently writes to the darklaunch DB, not live [ACTIVE: darklaunch validation mode]","SERP","update","Cut over the queue's source/destination from the darklaunch DB to the live serp_* tables (cutover doc §3) — this is what makes order reservations, and therefore view sellable_qty, live. Detection windows: new-order sync limited to the past 30 days; shipped/cancel detection can look back longer (late ships of older orders — e.g. e-card redemptions — still land). Note: all detection (new/shipped/cancel) now reads the staged DB via the staging copier — the worker makes zero live-MySQL queries (PR #499) — so the cutover switch must also repoint detection to live ec_order/preselect_orders (or keep the copier as the feed). Detection's oddo_synchronized = 1 predicate is removed pre-cutover (SERP PR #519) — the source repoint alone was not sufficient; the frozen flag would have stalled the queue (eligibility now rests on store_id=2 + order types + inventory_source='odoo' + NOT EXISTS serp_sale_order). The explicit bypass-Odoo product-type exclusion (product_type.bypass_odoo=1: gift cards, vendor drop-ship, employee gifts) is being added separately so flag-5 semantics survive the column","at cutover"
"SERP new-SKU seeder","SERP/backend/workers/handlers/multi_target.py + backend/serp_orm/models/product_template.py","WRITE: seeds inventory_qty=0 on new-SKU insert [ACTIVE: event/worker-driven via odoo_sync_worker, NOT a cron]","SERP","update","Already SERP-native — keep seeding inventory_qty=0 while the column exists; when the column is dropped (post-cutover cleanup), remove the field from the insert path so new-SKU creation doesn't break on the missing column","after cutover"
"Disable Unreserved Products V2","n8n Disable Unreserved Products V2 (VRdmXlm2XTeRbOyT)","Reads Odoo product_product/product_template/stock_move(_line)/stock_location/stock_quant (Odoo_read cred) to compute available; writes receiver_products.status only — disables products when available < drop_level (never writes inventory_qty) [ACTIVE: every 1 min]","n8n","update","Swap the cred to SERP DB; the whole Odoo stock calculation collapses into the view — read receiver_product_inventory.sellable_qty; status write-back unchanged. Code: quant/move availability calc < drop_level -> rpi.sellable_qty < drop_level. NOTE (decided 2026-07-21 Touchbase, Seth+Anna): this n8n/SERPY-node disabler becomes BACKUP ONLY — the PRIMARY auto-disable check moves into Laravel reading sellable_qty (see 'Laravel primary auto-disable' row); keep this repointed to the view as a safety net, but it is no longer the primary system (it's the known deadlock source, too unstable to lead)","at cutover"
"Repoint disableIfCanBe (order-time auto-disable)","sugarwish-laravel app/Models/ReceiverProduct.php:149 (disableIfCanBe/canBeDisabled); call sites ReceiverConfirmPostController.php:634, Prepick/PlaceOrderController.php:762, PreselectOrderPlacement.php:279, SweetShoppeOrderPlacement.php:63/306, PrepickOrderJob.php:961, ReceiverOrderService.php:1033, ReceiverProduct.php:356, PrePickHelper.php:180","WRITE: the REAL Laravel auto-disable and the primary real-time one — fires synchronously right after inventory decrement on order placement. Disables when inventory_qty <= drop_level (own or inventory_link parent's; else global candy-inventory-drop-threshold=100), cascades disable to parent+child via inventory_link. Reads ONLY inventory_qty vs drop_level (no prelist/reservations/odoo_inventory). Disable-only, never re-enables [ACTIVE: every order placement]","Laravel","update","This is where 'auto-disable becomes Laravel-primary' (Jul 21 Touchbase, Seth+Anna) actually lands — it is NOT new, it already runs. Repoint the check from raw inventory_qty to the view's sellable_qty: inventory_qty <= drop_level -> receiver_product_inventory.sellable_qty <= drop_level (inventory_qty is a dead number post-freeze); keep the inventory_link parent/child cascade. CO-LOCATED with the 'Order decrement / restock' row (same file) — when those decrement writes are removed, repoint this disable check in the SAME change or it silently reads the frozen column and stops firing. SERPY/n8n Disable Unreserved stays BACKUP only","at cutover"
"Forecast combined SA data","SERP/backend/sql/forecast/live/combined_sa_data.sql","READ: forecast SA source, parent inventory_qty - prelist_qty (prelist netted once here) [ACTIVE: request-time via forecast router, TTL-cached, no cron]","SERP","update","Repoint to receiver_product_inventory.available_qty — the old math netted prelist OUT (inventory_qty - prelist_qty) and available_qty is exactly that (sellable - prelist), with reserved/unsynced-demand/unreserved handled by the view; keep the inventory_link parent resolution. Code: parent inventory_qty - prelist_qty -> rpi.available_qty (rpi = receiver_product_inventory).","at cutover"
"Live products query","SERP/backend/sql/live_products/live/receiver_products.sql","READ: live-products sa_inventory; available = inventory_qty - holds(inventory_reservations) - prelist [ACTIVE: get_live_products endpoint]","SERP","update","Repoint sa_inventory to sellable_qty (closest successor to raw inventory_qty — also nets unsynced demand + holds, by design) and its available to available_qty (it netted reserved + prelist itself — the view does both); drop the local netting. Code: sa_inventory: inventory_qty -> rpi.sellable_qty; available: inventory_qty - holds - prelist -> rpi.available_qty.","at cutover"
"Ecard analysis","SERP/backend/services/forecast/sql/ecard_analysis_body.sql","READ: ecard sku_inventory CTE (source of truth; prelist+unreserved netted once) [ACTIVE: ecard_inventory router; also pulled by core-sku-report cron]","SERP","update","Repoint the sku_inventory CTE to receiver_product_inventory.available_qty — it netted prelist + unreserved itself, which available_qty already does; drop the local netting. Code: sku_inventory: inventory_qty - prelist - unreserved_backorder -> rpi.available_qty (drop its inventory_reservations CTE too).","at cutover"
