"name","location","what it does","application","update or deprecate","how to update / reason for deprecation","phase"
"MCP db tool (livery copy)","livery/tools/mcp-db-tool/src/index.js:229-261","READ-only: standalone duplicate of the read-only pg.Pool, odoo in DB enum","livery","DEPRECATE","the Odoo Postgres it points at is turned off at decommission — drop odoo from the DB enum","after cutover"
"MCP db tool (swirl copy)","swirl/.claude/mcp-db-tool-live/src/index.js:267-295","READ-only: standalone duplicate of the read-only pg.Pool, odoo in DB enum","swirl","DEPRECATE","the Odoo Postgres it points at is turned off at decommission — drop odoo from the DB enum","after cutover"
"n8n Odoo Order Sync Integrity Monitor","https://n8n.sugarwish.com/workflow/6iiMjS1arjKpoWmz","READ+WRITE (Odoo_read reads Odoo sale_order; sw_live_creds reads/writes Laravel): hourly at :20 — compares last-24h orders against Odoo, and on a miss resets sync flags in items/ec_order/preselect_orders so they re-import [ACTIVE, hourly]","n8n","DEPRECATE","deactivate — it monitors the Laravel→Odoo sync, which ends at cutover; SERP's own order/drift monitoring replaces the need; deactivate its bound error handler with it (Odoo Sync Error Handler, n8n 6UFLDPu9MwwP9Yn5, wired via settings.errorWorkflow) — otherwise it lingers pointed at #api-warnings","at cutover"
"n8n Sync Receiver Product Inventory with Odoo","https://n8n.sugarwish.com/workflow/Waf2sOm2Aj0nJAx4","READ (Odoo_read cred): stock_quant/stock_location/product_product/product_template; WRITE-BACK goes to Laravel odoo_inventory.inventory (NOT Odoo, NOT receiver_products.inventory_qty) [ACTIVE, every 5 min 5am-7pm]; also reads odoo_inventory back (node ""Laravel: Get Current odoo_inventory Values"" joins receiver_products × odoo_inventory)","n8n","DEPRECATE","deactivate — availability is served by the receiver_product_inventory view (laravel_live view over co-hosted serp_stock_quant × serp_product_product), so the odoo_inventory feed (and this workflow) is no longer needed","at cutover"
"odoo_inventory table","laravel_live.odoo_inventory (5,316 rows; writer: OdooInventoryService.php:88,104, fed by the n8n sync above)","table: Odoo→Laravel inventory mirror (200 rows updated today); its readers are the push-back Lambda (index.py:35 LEFT JOIN, ~every 2 min) and the n8n sync itself — both retired at the flip, so the table freezes with no surviving reader","Laravel","DEPRECATE","deprecated — all reads move to the receiver_product_inventory view (served from the source serp_* tables); drop the table in the post-cutover Laravel cleanup","after cutover"
"n8n Odoo - inventory in wrong location","https://n8n.sugarwish.com/workflow/9jG7EVP5pBSdm0t0","READ+WRITE (Odoo_read): stock_quant/product_product/product_template/stock_location — flags qty in a wrong (sugarwish_id<=0) location; WRITE-BACK to MySQL receiver_products.status='disabled' so affected SKUs drop off the site [ACTIVE, every 2 min]","n8n","UPDATE","swap the Odoo_read cred to SERP DB and rewrite against serp_stock_quant/serp_stock_location","at cutover"
"Odoo shipped-date write (XML-RPC)","sugarwish-laravel/app/Actions/Order/Odoo/UpdateShippedDate.php:25,30,39","WRITE (XML-RPC /xmlrpc/2/ via Ripoo\OdooClient): searches sale.order by sw_id, writes commitment_date; driven by SendShippedDate{ForReceiverOrder,ForPreselectOrder} commands; creds in config/services.php:106-111","Laravel","DEPRECATE","stop dispatching the SendShippedDate commands and remove the action — SERP's order pipeline reads ec_order.ship_date natively, no replacement needed","at cutover"
"Retry-reset sidecar","sugarwish-laravel sidecar/ChangeOddoSynchronizedToZeroForRetry/index.py:33-41","WRITE: resets oddo_synchronized 2 → 0 to force an Odoo re-pull; ALREADY DEAD — unregistered (config/sidecar.php:29 commented out); if live it would be an infinite-retry generator post-freeze","Laravel","DEPRECATE","dead code, no flip action — delete the sidecar folder in the post-cutover cleanup","after cutover"
"Shipped-date sidecars","sugarwish-laravel sidecar/UpdateReceiverShippedDateInOdoo/ + UpdatePrepickShippedDateInOdoo/ (unregistered — config/sidecar.php:33-34 commented out)","WRITE: Lambda pair that pushed ship dates to Odoo and stamped ship_date_odoo_synchronized; ALREADY DEAD (commented out of sidecar registration)","Laravel","DEPRECATE","dead code, no flip action — delete the folders in the post-cutover cleanup","after cutover"
"Inbound Odoo REST surface","sugarwish-laravel/routes/api.php:60-81","INBOUND (Odoo's ~6-min cron polls these): /api/odoo/* (GET/PUT /odoo, /odoo/pre-pick, update-order-passed/failed, /odoo/components/*) read/write ec_order, preselect_orders, items, odoo_inventory, components; flip oddo_synchronized","Laravel","DEPRECATE","no Laravel change — SERP's darklaunch order worker reads the Laravel data directly (not these endpoints); they go quiet when Odoo's crons stop at cutover, then remove. The inventory availability Odoo pushes back into odoo_inventory (PUT /api/odoo + sidecar Lambda) is replaced by the receiver_product_inventory / component_product_inventory views (laravel_live views over co-hosted serp_stock_quant) — no push feed needed","at cutover"
